#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:18.015394334Z,258,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:18.965719959Z,242,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:20.067548584Z,260,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:21.096068667Z,277,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:21.978492126Z,268,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:23.029535084Z,268,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:23.981566042Z,269,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:25.084038459Z,269,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:25.981627167Z,279,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:27.065074334Z,277,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:28.310420751Z,265,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:29.047917459Z,268,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:30.097782667Z,254,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:31.035285167Z,261,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:32.005550167Z,273,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:33.058676084Z,309,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:34.074947542Z,325,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:35.110381459Z,588,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:36.040039834Z,371,x,positionData
,,0,2023-10-04T06:19:55.176461Z,2023-10-04T07:19:55.176461Z,2023-10-04T06:49:37.050262042Z,302,x,positionData
